                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.69511,                0.37703,                0.91692,                0.97913,                  0.966,                0.98498,                0.83989,                0.62079,                0.28841,                0.93508,              0.0068815,              0.0068815,              0.0068815
                    129,                 0.6927,                 0.3756,                0.91788,                0.97879,                0.96644,                0.98495,                0.83968,                0.62058,                0.28837,                  0.935,              0.0068568,              0.0068568,              0.0068568
                    130,                0.69476,                 0.3757,                0.91646,                0.97912,                 0.9667,                0.98496,                 0.8397,                0.62037,                0.28814,                  0.935,               0.006832,               0.006832,               0.006832
                    131,                 0.6952,                0.37476,                0.91789,                0.97879,                0.96702,                0.98485,                0.83965,                0.61997,                0.28779,                0.93493,              0.0068073,              0.0068073,              0.0068073
                    132,                0.69438,                0.37524,                0.91765,                0.97861,                0.96728,                0.98479,                 0.8398,                0.61981,                0.28772,                0.93481,              0.0067825,              0.0067825,              0.0067825
                    133,                0.69207,                0.37396,                0.91517,                0.97873,                0.96677,                0.98498,                0.84001,                0.61944,                0.28746,                 0.9346,              0.0067577,              0.0067577,              0.0067577
                    134,                0.69025,                0.37372,                 0.9164,                 0.9795,                 0.9659,                0.98508,                0.84033,                0.61955,                 0.2875,                0.93471,               0.006733,               0.006733,               0.006733
                    135,                0.69454,                0.37596,                0.91896,                0.97984,                0.96583,                0.98532,                0.84045,                0.61952,                0.28729,                0.93472,              0.0067082,              0.0067082,              0.0067082
                    136,                0.68316,                0.37016,                0.91624,                0.97946,                0.96603,                0.98538,                0.84079,                 0.6191,                0.28725,                0.93474,              0.0066835,              0.0066835,              0.0066835
                    137,                0.68691,                0.37028,                0.91634,                0.97948,                0.96572,                0.98534,                0.84101,                0.61889,                0.28719,                0.93465,              0.0066587,              0.0066587,              0.0066587
                    138,                0.69073,                 0.3727,                0.91688,                0.97975,                0.96564,                0.98529,                0.84074,                 0.6185,                0.28697,                0.93453,               0.006634,               0.006634,               0.006634
                    139,                0.68795,                0.37163,                0.91537,                0.97944,                0.96611,                0.98521,                0.84087,                0.61839,                0.28676,                0.93438,              0.0066092,              0.0066092,              0.0066092
                    140,                0.68689,                0.37289,                0.91327,                0.97943,                0.96643,                0.98507,                0.84095,                0.61842,                0.28678,                0.93426,              0.0065845,              0.0065845,              0.0065845
                    141,                0.68493,                0.37074,                0.91711,                0.97897,                0.96663,                0.98522,                0.84145,                0.61813,                0.28658,                0.93414,              0.0065598,              0.0065598,              0.0065598
                    142,                0.68606,                0.37019,                0.91617,                0.97905,                0.96692,                0.98539,                 0.8413,                  0.618,                0.28659,                0.93407,               0.006535,               0.006535,               0.006535
                    143,                0.68741,                0.37188,                0.91547,                0.97905,                0.96712,                0.98541,                0.84136,                0.61771,                0.28637,                0.93391,              0.0065102,              0.0065102,              0.0065102
                    144,                0.68871,                0.37032,                0.91345,                 0.9792,                0.96701,                0.98546,                0.84118,                0.61762,                0.28617,                0.93379,              0.0064855,              0.0064855,              0.0064855
                    145,                0.68223,                0.36803,                 0.9121,                0.97948,                0.96681,                0.98544,                0.84121,                0.61755,                0.28602,                0.93376,              0.0064608,              0.0064608,              0.0064608
                    146,                0.68066,                 0.3666,                0.91194,                 0.9792,                0.96688,                0.98538,                0.84179,                0.61733,                0.28592,                0.93365,               0.006436,               0.006436,               0.006436
                    147,                0.68692,                0.36951,                 0.9141,                0.97976,                0.96632,                0.98543,                0.84177,                0.61738,                0.28577,                0.93364,              0.0064112,              0.0064112,              0.0064112
                    148,                0.68308,                0.36816,                 0.9145,                0.97912,                0.96637,                0.98517,                0.84172,                0.61732,                0.28599,                0.93347,              0.0063865,              0.0063865,              0.0063865
                    149,                0.68227,                0.36651,                0.91225,                0.97949,                0.96655,                 0.9855,                0.84183,                0.61726,                0.28591,                0.93338,              0.0063618,              0.0063618,              0.0063618
                    150,                0.68447,                 0.3696,                0.91371,                0.97908,                0.96652,                0.98525,                0.84166,                0.61705,                0.28585,                0.93326,               0.006337,               0.006337,               0.006337
                    151,                0.68257,                0.36793,                0.91515,                0.97869,                0.96661,                0.98511,                0.84134,                0.61688,                0.28591,                0.93329,              0.0063122,              0.0063122,              0.0063122
                    152,                0.67503,                0.36586,                0.91163,                0.97896,                0.96571,                0.98524,                0.84137,                0.61672,                0.28586,                0.93322,              0.0062875,              0.0062875,              0.0062875
                    153,                 0.6802,                0.36525,                0.91084,                0.97875,                0.96592,                0.98508,                0.84133,                0.61661,                0.28592,                0.93314,              0.0062628,              0.0062628,              0.0062628
                    154,                0.67555,                0.36511,                0.90978,                0.97888,                0.96587,                0.98525,                0.84132,                0.61631,                 0.2859,                0.93298,               0.006238,               0.006238,               0.006238
                    155,                0.68028,                0.36618,                0.91092,                0.97861,                0.96588,                0.98525,                0.84156,                0.61635,                0.28581,                0.93299,              0.0062132,              0.0062132,              0.0062132
